Economy,DB 2019,DB 2020
Afghanistan,44.2,44.1
Albania,67,67.7
Algeria,48.5,48.6
Angola,41.2,41.3
Antigua and Barbuda,59.9,60.3
Argentina,58.2,59
Armenia,73.2,74.5
Australia,80.7,81.2
Austria,78.7,78.7
Azerbaijan,73.6,76.7
"Bahamas, The",59.4,59.9
Bahrain,70.1,76
Bangladesh,42.5,45
Bangladesh - Chittagong,43.4,45.6
Bangladesh - Dhaka,42.2,44.9
Barbados,57.7,57.9
Belarus,74.4,74.3
Belgium,74.7,75
Belize,55.3,55.5
Benin,51.7,52.4
Bhutan,66,66
Bolivia,51.6,51.7
Bosnia and Herzegovina,65.4,65.4
Botswana,66.2,66.2
Brazil,58.6,59.1
Brazil - Rio de Janeiro,59,59.5
Brazil - São Paulo,58.3,58.8
Brunei Darussalam,69.6,70.1
Bulgaria,71.8,72
Burkina Faso,51.3,51.4
Burundi,46.5,46.8
Cabo Verde,54,55
Cambodia,53.8,53.8
Cameroon,46,46.1
Canada,79.7,79.6
Central African Republic,34.8,35.6
Chad,36.7,36.9
Chile,72.3,72.6
China,74,77.9
China - Beijing,73.9,78.2
China - Shanghai,74,77.7
Colombia,69.2,70.1
Comoros,47,47.9
"Congo, Dem. Rep.",35.2,36.2
"Congo, Rep.",38.2,39.5
Costa Rica,68.8,69.2
Côte d'Ivoire,58.3,60.7
Croatia,73,73.6
Cyprus,72.8,73.4
Czech Republic,76.3,76.3
Denmark,85.2,85.3
Djibouti,58.4,60.5
Dominica,60.5,60.5
Dominican Republic,59.3,60
Ecuador,57.6,57.7
"Egypt, Arab Rep.",58.5,60.1
El Salvador,64.9,65.3
Equatorial Guinea,40.5,41.1
Eritrea,21.5,21.6
Estonia,80.8,80.6
Eswatini,58.7,59.5
Ethiopia,47.1,48
Fiji,61.4,61.5
Finland,80,80.2
France,76.8,76.8
Gabon,44.5,45
"Gambia, The",47.8,50.3
Georgia,83.5,83.7
Germany,79.3,79.7
Ghana,60.4,60
Greece,67.4,68.4
Grenada,53.4,53.4
Guatemala,62.5,62.6
Guinea,49.3,49.4
Guinea-Bissau,43.2,43.2
Guyana,55.6,55.5
Haiti,37.9,40.7
Honduras,56,56.3
"Hong Kong SAR, China",85.1,85.3
Hungary,73.2,73.4
Iceland,79,79
India,67.5,71
India - Delhi,68.1,71.9
India - Mumbai,66.8,70.1
Indonesia,68.2,69.6
Indonesia - Jakarta,68.4,69.8
Indonesia - Surabaya,67.4,68.8
"Iran, Islamic Rep.",58.6,58.5
Iraq,44.7,44.7
Ireland,79.6,79.6
Israel,75,76.7
Italy,73,72.9
Jamaica,68.3,69.7
Japan,78,78
Japan - Osaka,78.5,78.4
Japan - Tokyo,77.8,77.8
Jordan,61.3,69
Kazakhstan,78,79.6
Kenya,71,73.2
Kiribati,46.8,46.9
"Korea, Rep.",84,84
Kosovo,71,73.2
Kuwait,62.6,67.4
Kyrgyz Republic,65.4,67.8
Lao PDR,49.8,50.8
Latvia,80.3,80.3
Lebanon,54.4,54.3
Lesotho,58.7,59.4
Liberia,43.5,43.2
Libya,32.7,32.7
Liechtenstein*,64.9,64.8
Lithuania,81,81.6
Luxembourg,69.6,69.6
Madagascar,47,47.7
Malawi,60.4,60.9
Malaysia,81.3,81.5
Maldives,53.3,53.3
Mali,53.1,52.9
Malta,65.5,66.1
Marshall Islands,50.9,50.9
Mauritania,49.4,51.1
Mauritius,80.3,81.5
Mexico,72.3,72.4
Mexico - Mexico City,71.6,71.7
Mexico - Monterrey,75.7,75.7
"Micronesia, Fed. Sts.",48.1,48.1
Moldova,73.1,74.4
Mongolia,67.7,67.8
Montenegro,73.7,73.8
Morocco,71.7,73.4
Mozambique,54.6,55
Myanmar,43.5,46.8
Namibia,61.4,61.4
Nepal,59.7,63.2
Netherlands,76.1,76.1
New Zealand,87,86.8
Nicaragua,54.5,54.4
Niger,52.3,56.8
Nigeria,53.4,56.9
Nigeria - Kano,56,58.2
Nigeria - Lagos,52.6,56.5
North Macedonia,80.7,80.7
Norway,82.9,82.6
Oman,68.8,70
Pakistan,55.5,61
Pakistan - Karachi,54,59.5
Pakistan - Lahore,58.2,63.6
Palau,53.7,53.7
Panama,66.9,66.6
Papua New Guinea,59.4,59.8
Paraguay,58.5,59.1
Peru,68.3,68.7
Philippines,60.9,62.8
Poland,76.9,76.4
Portugal,76.4,76.5
Puerto Rico,70,70.1
Qatar,66.7,68.7
Romania,72.5,73.3
Russian Federation,77.4,78.2
Russian Federation - Moscow,77.5,78.3
Russian Federation - Saint Petersburg,77.2,77.9
Rwanda,75.4,76.5
Samoa,62.1,62.1
San Marino,64.2,64.2
São Tomé and Príncipe,45,45
Saudi Arabia,63.8,71.6
Senegal,54.4,59.3
Serbia,73.9,75.7
Seychelles,61.5,61.7
Sierra Leone,47.2,47.5
Singapore,85.8,86.2
Slovak Republic,75.4,75.6
Slovenia,76.4,76.5
Solomon Islands,55.2,55.3
Somalia,20,20
South Africa,66.7,67
South Sudan,33.6,34.6
Spain,77.7,77.9
Sri Lanka,61.8,61.8
St. Kitts and Nevis,54.6,54.6
St. Lucia,63.6,63.7
St. Vincent and the Grenadines,57,57.1
Sudan,48,44.8
Suriname,47.4,47.5
Sweden,82,82
Switzerland,76.6,76.6
Syrian Arab Republic,41.5,42
"Taiwan, China",81,80.9
Tajikistan,55.4,61.3
Tanzania,54.3,54.5
Thailand,79.5,80.1
Timor-Leste,39.7,39.4
Togo,55.3,62.3
Tonga,61.7,61.4
Trinidad and Tobago,61,61.3
Tunisia,67.2,68.7
Turkey,75.3,76.8
Uganda,58.4,60
Ukraine,69.1,70.2
United Arab Emirates,81.6,80.9
United Kingdom,83.6,83.5
United States,83.6,84
United States - Los Angeles,81.4,82.2
United States - New York City,85,85.2
Uruguay,61.4,61.5
Uzbekistan,67.8,69.9
Vanuatu,60.7,61.1
"Venezuela, RB",32.1,30.2
Vietnam,68.6,69.8
West Bank and Gaza,59.7,60
"Yemen, Rep.",30.7,31.8
Zambia,65.7,66.9
Zimbabwe,50.5,54.5
